sku,avg_daily_demand,demand_std,lead_time_days,current_stock,unit_cost,service_level,safety_stock,reorder_point,recommended_order_qty,reorder_now,estimated_order_value
SKU-0132,31.421917808219177,7.856372904401,27,247,109.13,0.98,83.85025940122804,932.2420402231459,1152.0,True,125717.76
SKU-0060,32.96986301369863,7.9894622378051885,29,315,97.72,0.98,88.3724685689489,1044.4984959662092,1252.0,True,122345.44
SKU-0214,34.463013698630135,8.22932819499991,29,351,95.99,0.95,72.90029471751045,1072.3276919777843,1258.0,True,120755.42
SKU-0498,23.638356164383563,6.36358610058917,27,81,116.03,0.98,67.91789948737596,706.1535159257321,979.0,True,113593.37
SKU-0055,33.42739726027397,7.956151470975986,25,439,116.67,0.98,81.70967560692338,917.3946071137726,938.0,True,109436.46
SKU-0144,34.88219178082192,8.135179041670934,29,147,67.34,0.95,72.06626539428373,1083.6498270381194,1479.0,True,99595.86
SKU-0208,30.397260273972602,7.544628622053485,26,396,109.04,0.98,79.01780839592243,869.3465755192101,909.0,True,99117.36
SKU-0192,28.043835616438358,7.453021112888888,23,243,117.67,0.95,58.79794826724229,703.8061674453245,813.0,True,95665.71
SKU-0195,30.55890410958904,7.7068514475942225,21,257,110.87,0.98,72.54159068369357,714.2785769850634,815.0,True,90359.05
SKU-0340,32.11506849315069,8.03959417598468,27,409,85.7,0.95,68.71980386217392,935.8266531772424,995.0,True,85271.5
SKU-0188,33.087671232876716,7.923950778214822,20,188,92.09,0.9,45.430215001915606,707.1836396594499,873.0,True,80394.57
SKU-0267,30.838356164383562,7.502648435993604,25,563,114.4,0.95,61.70928338604739,832.6681874956364,687.0,True,78592.8
SKU-0014,22.063013698630137,6.211375306674138,25,24,90.24,0.9,39.814915715781225,591.3902581815347,864.0,True,77967.36
SKU-0067,29.443835616438356,7.688313278724071,17,111,104.57,0.98,65.11124075951133,565.6564462389634,738.0,True,77172.65999999999
SKU-0080,26.416438356164385,7.238613902943534,28,437,100.92,0.9,49.104631182344285,788.7649051549471,747.0,True,75387.24
SKU-0171,25.208219178082192,6.836025961100498,23,220,99.09,0.98,67.339216751975,647.1282578478654,751.0,True,74416.59
SKU-0147,18.75890410958904,5.901383606075316,19,52,119.46,0.98,52.83614040926119,409.25531849145295,562.0,True,67136.51999999999
SKU-0045,21.416438356164385,6.1797038785929095,25,173,92.31,0.98,63.465558833149174,598.8765177372588,726.0,True,67017.06
SKU-0476,21.526027397260275,6.182437625989226,28,54,68.47,0.98,67.19534660323409,669.9241137265218,951.0,True,65114.97
SKU-0155,22.884931506849316,6.540904078403705,26,300,98.87,0.9,42.75751723643312,637.7657364145153,657.0,True,64957.590000000004
SKU-0012,27.85753424657534,7.445883843510404,24,266,79.12,0.9,46.76381168202486,715.3446335998331,808.0,True,63928.96000000001
SKU-0317,26.813698630136987,6.76191083981666,18,180,100.82,0.98,58.925887438148855,541.5724627806146,633.0,True,63819.06
SKU-0110,19.964383561643835,6.265757495732933,28,115,80.14,0.9,42.505058983855974,601.5077987098833,788.0,True,63150.32
SKU-0223,29.89041095890411,7.192337275878363,26,521,83.27,0.98,75.32812511446349,852.4788100459702,758.0,True,63118.659999999996
SKU-0071,30.561643835616437,7.548353836567888,22,252,74.44,0.95,58.241089774027955,730.5972541575895,844.0,True,62827.36
SKU-0382,33.032876712328765,7.9489451714773995,23,527,90.35,0.9,48.872149946644264,808.6283143302059,686.0,True,61980.1
SKU-0199,32.723287671232875,8.098136411381796,21,439,91.23,0.9,47.57543420552743,734.7644753014179,664.0,True,60576.72
SKU-0457,25.561643835616437,6.657199484970278,21,377,115.24,0.98,62.66162562263471,599.4561461705798,523.0,True,60270.52
SKU-0018,24.77260273972603,6.55411246357257,28,585,114.69,0.9,44.46117441357991,738.0940511259087,523.0,True,59982.869999999995
SKU-0120,22.676712328767124,6.078210962296616,17,78,101.69,0.98,51.47551133853837,436.97962092757945,578.0,True,58776.82
SKU-0319,19.013698630136986,5.65708043824293,27,126,81.75,0.95,48.35486090950367,561.7247239232023,717.0,True,58614.75
SKU-0486,18.30958904109589,5.805931137131266,19,49,105.36,0.98,51.98153742321797,399.8637292040399,551.0,True,58053.36
SKU-0074,27.671232876712327,7.50248089832193,14,152,116.19,0.9,35.98793615873558,423.38519643270814,484.0,True,56235.96
SKU-0088,24.895890410958906,6.688526307325212,24,86,62.05,0.9,42.0072339617056,639.5086038247193,874.0,True,54231.7
SKU-0291,31.715068493150685,7.7339637569391,19,213,69.84,0.95,55.4555268094336,658.0418281792967,775.0,True,54126.0
SKU-0128,13.383561643835616,5.148429123983218,29,42,90.36,0.9,35.543628621701956,423.6669162929348,594.0,True,53673.84
SKU-0465,29.30958904109589,7.2437954576897425,25,361,64.72,0.9,46.432728883791256,779.1724549111885,808.0,True,52293.76
SKU-0268,20.208219178082192,6.277943104405989,26,37,63.13,0.9,41.038556333866175,566.4522549640031,813.0,True,51324.69
SKU-0396,30.882191780821916,7.690784810867811,26,441,57.2,0.98,80.54855858949064,883.4855448908605,885.0,True,50622.0
SKU-0343,30.791780821917808,7.48151115635058,17,292,85.36,0.98,63.35986275353172,586.8201367261345,589.0,True,50277.04
SKU-0015,21.512328767123286,6.623135134699754,21,69,74.97,0.9,38.91000519481982,490.6689093044088,668.0,True,50079.96
SKU-0046,26.32054794520548,6.563195727728195,23,480,101.95,0.9,40.352207596758525,645.7248103364846,489.0,True,49853.55
SKU-0472,31.863013698630137,8.028991199638831,18,345,82.43,0.95,56.03548519748158,629.569731772824,600.0,True,49458.00000000001
SKU-0076,27.767123287671232,7.152039108190617,22,252,63.84,0.98,68.90355989104981,679.7802722198169,768.0,True,49029.12
